-90, -90, 270, -90
-30, -150, 330, -150
-20, -140, 320, -160
-120, -240, 220, 140
-80, -200, 180, 100
-70, -190, 170, 90
-60, -200, 180, 80
-160, -300, 80, 380
-140, -280, 60, 360
-120, -300, 40, 380
-130, -290, 50, 370
-150, -310, 70, 390
-160, -300, 80, 380
-170, -290, 90, 370
190, -410, -30, 250
200, -420, -40, 260
190, -410, -50, 270
200, -400, -60, 260
300, -500, -160, 360
380, -580, -80, 280
590, -650, -150, 210
660, -720, -80, 140
650, -730, -70, 150
550, -830, -170, 450
470, -910, 70, 370
460, -900, 60, 380
440, -880, 40, 400
370, -670, -30, 330
390, -690, -50, 350
380, -680, -40, 340
390, -690, -30, 330
380, -680, -20, 320
