0, 0, 0, 0
20, -20, 20, -20
40, -80, 40, 0
50, -90, 50, -10
10, -50, 10, 30
30, -70, 30, 10
50, -50, 10, -10
40, -40, 20, -10
30, -50, 30, -10
20, -40, 40, -20
60, -80, 80, -60
160, 20, 180, -360
340, -40, 120, -420
320, -60, 140, -400
260, 120, 80, -460
200, 140, 100, -440
150, 190, 50, -390
100, 340, 0, -440
70, 350, 10, -430
50, 370, 30, -450
-50, 270, -70, -150
50, -30, 30, -50
10, 10, 70, -90
0, 20, 80, -100
-20, 40, 60, -80
0, 20, 40, -60
100, 120, -260, 40
40, 140, -240, 60
-30, 70, -30, -10
0, 100, -60, -40
-30, 110, -50, -30
-90, 50, 130, -90
-150, 70, 150, -70
-210, 130, 90, -10
-390, -50, -90, 530 
-380, -60, -80, 520
-400, -40, -100, 540
-410, -30, -110, 550
-460, -80, -160, 700
-440, -60, -180, 680
-450, -70, -170, 690
-460, -60, -160, 680
-420, -100, -120, 640
-240, -160, -180, 580
-260, -180, -160, 600
-250, -190, -170, 610
-230, -210, -190, 630
-250, -190, -170, 610
-130, -310, -50, 490
