20, 20, -60, 20
70, 70, -10, -130
20, 20, -60, 20
0, 40, -80, 40
30, 10, -50, 10
10, 30, -30, -10
50, -10, 10, -50
70, -30, 30, -70
110, -70, -10, -30
140, -100, 20, -60
160, -80, -40, -40
140, -60, -20, -60
120, -80, 0, -40
80, -40, 40, -80
100, -60, 20, -60
80, -40, 0, -40
60, -20, -20, -20
40, 0, 0, -40
60, -20, -20, -20
40, 0, 0, -40
70, -30, -30, -10
30, 10, 10, -50
-30, 70, 70, -110
-70, 110, 110, -150
-90, 130, 90, -130
-50, 90, 130, -170
-170, -30, 250, -50
-70, 70, 350, -350
-190, 110, 390, -310
-160, 80, 360, -280
-180, 60, 380, -260
-200, 80, 360, -240
-240, 40, 400, -200
-220, 60, 420, -260
-200, 40, 400, -240
-100, 140, 100, -140
50, 90, 50, -190
-30, 10, 290, -270
-50, -10, 310, -250 
-30, 10, 250, -230
50, -230, 330, -150
70, -250, 350, -170
150, -330, 270, -90
-10, 150, 110, -250
10, 90, 130, -230
30, 110, 110, -250
10, 130, 130, -270
-30, 170, 170, -310
10, 130, 210, -350
30, 110, 190, -330
-450, 270, 350, -170
-480, 300, 320, -140
